block,tx,sender,pol_added,biggi_added
32422838,0x98671b3e22c9eddbb20fa00f49a8c2e3f4e04bb693f087987a08f29170eebfd2,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,1.000000000000000000,10000.000000000000000000
32423308,0x4c790f4daee468de2062aabc0caddbe4337fc2e5e7aed571b01cd2fd5a87a515,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,1.000000000000000000,10000.000000000000000000
33437903,0xbc7c3e925eac5994b90bfe92895254dbcc9b5e00f5e0fb1e6b247b5fbc4e2d94,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048835130368160187,340.177318911428585579
33437930,0xaa00b0b8e8e0e00836645df73651cb04b88730264c4a65994d2c5cbf3eddf8fb,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048854975144690352,340.315554292874935527
33438085,0x95595410681756a8f95cd0b844ca7e165083c3b7a3d629d9589b873ab1ab1cce,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048874066321770819,340.448540227081309695
33444049,0xf6bb62ead3d7aa3d0c32d50b7ff4e2d8b5cdab0c2e520c5520ab9e85fa10bece,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048905597918151952,331.274078339846937524
33504519,0x557c51aa514e5d995d9096cac66e4989d03c312f3f4e91e906d29dc6be09265c,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048935218118881386,322.586849081452385235
33601203,0x8abb326fc7c3f21c71d029d3391cbc860e3f49d03b3fd257eba721540a7e208f,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048963094365071520,314.347940278285875593
33601256,0x6274aa1774b19b3cfeeb3d742d5827b63df40f696c1675b5f66ec8d4302651fa,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.048989375202171094,306.522518800257898874
33602314,0x044d273d23ef9abc8e9699c105c64845a9bac201fe61bc9dac15acf1ae1e108c,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049014192860738569,299.079307532216716936
33603775,0xaf97c4f629a11aabae510a57e9cfa9b429f7f6e7c362a4ac0b11fb5989677260,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049037665427001276,291.990140925548132600
33604178,0xd1ed0cfd240a027e482b604130990ce158601aa56940417abd231c78fa42489b,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049059898677074783,285.229585691647571366
33666262,0xe253f9574608a7615c3c583bc1849cb29cc85bd852eaa5fae86604bb339aac1a,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049080987633934738,278.774615761010863935
33740458,0x58be2603a727289050714435d0ea07fb790e95a24a611e54c70a90ec44d3f0d3,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049101017894689514,272.604332657630891390
33746646,0xdc88940e7987049152b3d2993343641dfcec0c276009230ba46bc8acd3315c16,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049120066766628764,266.699724049856513375
33749902,0x9ceff290b3872374f575df1a8865bcb1c2a9f845634909674f6137ccb4ccf99c,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049138204243348103,261.043454527861570114
33756634,0x8efcb001df6c6be6378899bae51c089b46b10b293c367db8d3f1816f26baccba,0xB767E3Cd07fD0Dd96827895AB8b3801A3b141e8a,0.049155493846542407,255.619683694457080492
